名前,名前（カナ）,詳細業種,紹介文,郵便番号,住所,電話番号,公式URL,最寄駅,タウンページ詳細ページ
"あらきｍａｍ動物病院","アラキマムドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","mam（マム）…お母さんのあたたかさとやさしさと…","千葉県我孫子市南新木３丁目","04-7187-5775","http://mam-vet.com/","https://itp.ne.jp/info/122841324155331180/"
"おがわ動物病院","オガワドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","★犬・猫・小鳥その他ペットの健康相談
松伏町役場３分駐車場完備","埼玉県北葛飾郡松伏町松葉１丁目","048-992-2299","https://ogawaah.net/","https://itp.ne.jp/info/116394864200000899/"
"ひまわり動物病院","ヒマワリドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/Z526135__ペットトリミング/Z526500__ペット美容室/Z527100__ペットホテル/","平日夜７時　日・祝昼１２時迄
往診 トリミング ホテル 送迎","茨城県那珂郡東海村大字白方","029-270-5900","http://www.ah-himawari.com","https://itp.ne.jp/info/082302344127040960/"
"ハートフルおおもりのどうぶつ病院","ハートフルオオモリノドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/Z526135__ペットトリミング/Z526500__ペット美容室/Z527100__ペットホテル/","環七通り馬込銀座交差点そば・Ｐ有、
土・日・祝日も診療します。","東京都大田区東馬込２丁目","03-3771-0075","http://asahi-no.com/oomori/","https://itp.ne.jp/info/137361694100000899/"
"ひょうたん山動物医療センター","ヒョウタンヤマドウブツイリョウセンター","Z265725__獣医師/Z426150__動物病院/","東大阪市　動物病院　近鉄瓢箪山駅徒歩７分","大阪府東大阪市御幸町","072-982-2765","http://www.hyoutanyama.com/","https://itp.ne.jp/info/275583705300000899/"
"どうぶつのセンター病院","ドウブツノセンタービヨウイン","Z265725__獣医師/Z426150__動物病院/Z527100__ペットホテル/","高い技術と最新の設備で
ＢＧＭの流れる明るく親切な病院。","埼玉県川口市前川４丁目","048-266-6611","https://www.animalpro.jp","https://itp.ne.jp/info/115457033200000899/"
"井上動物病院","イノウエドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","日曜・祝日も診療！
夜間診療（祝日の場合は休診）★火・木・土","千葉県八千代市勝田台北１丁目","047-486-2350","http://www.inoue-animal-hospital.jp","https://itp.ne.jp/info/123452052200000899/"
"コルトン動物病院","コルトンドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","　◆コルトンプラザダイエー向い◆
　◆駐車場完備◆","千葉県市川市鬼高１丁目","047-376-8989","https://asp2.viaplatz.com/vpz/main/embp/?coid=204&st=0&fmt=hls&br=750000&is_guest=YES&pghash=c454f2c33dac&is_embed=yes","https://itp.ne.jp/info/127821715169031380/"
"おおむら動物病院","オオムラドウブツビヨウイン","Z265725__獣医師/Z426150__動物病院/Z433650__ドッグ美容室/Z525300__ペット関連サービス/Z526135__ペットトリミング/Z526500__ペット美容室/Z527100__ペットホテル/","吉祥寺駅10分★Ｐ有
動物と飼主さんの幸せのために ★年中無休","東京都武蔵野市吉祥寺本町２丁目","0422-29-7887","http://www.ohmura-ah.com/","https://itp.ne.jp/info/139498138100000899/"
"永田動物病院","ナガタドウブツビヨウイン","Z265725__獣医師/Z426150__動物病院/Z526135__ペットトリミング/Z526500__ペット美容室/Z527100__ペットホテル/","マキオドライビングスクール近く。
動物の心配ごとはお電話下さい","鹿児島県阿久根市赤瀬川","0996-72-1900","","https://itp.ne.jp/info/469625603500000899/"
"ファミリー動物病院","ファミリードウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","明石市、魚住の動物病院
土曜日も夜7時30分まで診療しています","兵庫県明石市魚住町清水","078-941-2070","","https://itp.ne.jp/info/287018900400000899/"
"よしもと動物病院","ヨシモトドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/","オーナーさんとの対話を大切に、診療、看護に全力をつくします。","福岡県宮若市本城","0949-32-1299","","https://itp.ne.jp/info/408650955177131930/"
"麦わらわんにゃん病院","ムギワラワンニャンビョウイン","Z265725__獣医師/Z426150__動物病院/","長崎市の犬・猫の動物病院。
土、日も診療致します","長崎県長崎市下西山町","095-895-7810","http://www.mugiwarawannyan.jp/","https://itp.ne.jp/info/429344653156270170/"
"山本動物病院","ヤマモトドウブツビョウイン","Z265725__獣医師/Z426150__動物病院/Z526135__ペットトリミング/Z527100__ペットホテル/","ペットは家族、大切な愛の絆です、ペット美容・ペットホテル併設","福岡県福岡市早良区飯倉５丁目","092-864-2411","http://www.vet-yamamoto.pet/","https://itp.ne.jp/info/406935777400000899/"
